volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,OAT,IAS,VSpd,NormAc,AltMSL,timestep,cluster,Master Index,date_diff,flight_length,number_flights_before
28.2,28.2,4.9,0.5,24,24,2.16,120.93,59.78,1168.1,169.6,176.75,180.2,169.3,998.99,1055.37,1056.5,1011.65,-2.2,0,-29.27,0,820.3,0,c_28,23517,-1,17673,0
28.2,28.2,4.9,0.5,24,24,2.13,120.92,59.82,1169.4,169.84,177.03,180.44,169.53,1001.44,1057.62,1059.75,1012.37,-2.2,0,-16.22,-0.04,820.3,1,c_28,23517,-1,17673,0
28.2,28.1,4.9,0.5,24,24,2.13,120.88,59.81,1169.5,170.77,178.08,181.48,170.27,1002.7,1063,1066.82,1017.06,-2.2,0,-0.81,0.01,819.6,2,c_28,23517,-1,17673,0
28.2,28.2,4.9,0.5,24,24,2.15,120.85,59.82,1169.6,171.11,178.45,181.87,170.59,1004.63,1065.59,1069.32,1019.43,-2.2,0,0.52,0,819.5,3,c_28,23517,-1,17673,0
28.2,28.2,4.9,0.5,24,24,2.2,120.83,59.83,1170.4,171.58,178.99,182.39,170.98,1007.24,1067.19,1070.3,1020.05,-2.2,0,16.4,0.03,819.3,4,c_28,23517,-1,17673,0
28.2,28.2,4.8,0.5,24,24,2.15,120.8,59.83,1170.5,172.12,179.58,182.99,171.48,1006.63,1068.38,1072.67,1021.12,-2.2,0,21.45,-0.02,819.3,5,c_28,23517,-1,17673,0
28.2,28.1,4.8,0.5,24,24,2.13,120.77,59.76,1165.4,172.55,180.06,183.49,171.88,1009.18,1071.18,1073.33,1022.71,-2.2,0,2.79,0.01,819.6,6,c_28,23517,-1,17673,0
28.2,28.2,4.8,0.4,24,24,2.18,120.74,59.73,1166.3,172.98,180.53,183.99,172.24,1012.86,1073.71,1075.05,1023.63,-2.2,0,7.53,-0.01,819.9,7,c_28,23517,-1,17673,0
28.2,28.2,4.8,0.4,24,24,2.14,120.71,59.8,1169.6,172.84,180.41,183.93,172.1,1013.33,1074.45,1075.84,1023.12,-2.2,0,-23.76,-0.03,820.5,8,c_28,23517,-1,17673,0
28.2,28.2,4.7,0.4,24,24,2.13,120.67,59.76,1169.2,173.03,180.63,184.14,172.21,1013.06,1076.37,1077.56,1023.17,-2.2,0,-22.15,-0.01,820.7,9,c_28,23517,-1,17673,0
